sample_id,fastq_1,fastq_2,condition,timepoint,lib_type,sequencer
B12_A6_6hpi_1,path/to/B12_A6_6hpi_1_1.fastq.gz,path/to/B12_A6_6hpi_1_2.fastq.gz,control,6,auto,HiSeq
B12_A6_6hpi_2,path/to/B12_A6_6hpi_2_1.fastq.gz,path/to/B12_A6_6hpi_2_2.fastq.gz,control,6,auto,HiSeq
B12_A6_6hpi_3,path/to/B12_A6_6hpi_3_1.fastq.gz,path/to/B12_A6_6hpi_3_2.fastq.gz,control,6,auto,HiSeq
B12_K1_6hpi_1,path/to/B12_K1_6hpi_1_1.fastq.gz,path/to/B12_K1_6hpi_1_2.fastq.gz,control,6,auto,HiSeq
B12_K1_6hpi_2,path/to/B12_K1_6hpi_2_1.fastq.gz,path/to/B12_K1_6hpi_2_2.fastq.gz,control,6,auto,HiSeq
B12_K1_6hpi_3,path/to/B12_K1_6hpi_3_1.fastq.gz,path/to/B12_K1_6hpi_3_2.fastq.gz,control,6,auto,HiSeq
B12_A6_12hpi_1,path/to/B12_A6_12hpi_1_1.fastq.gz,path/to/B12_A6_12hpi_1_2.fastq.gz,control,12,auto,HiSeq
B12_A6_12hpi_2,path/to/B12_A6_12hpi_2_1.fastq.gz,path/to/B12_A6_12hpi_2_2.fastq.gz,control,12,auto,HiSeq
B12_A6_12hpi_3,path/to/B12_A6_12hpi_3_1.fastq.gz,path/to/B12_A6_12hpi_3_2.fastq.gz,control,12,auto,HiSeq
B12_A6_18hpi_1,path/to/B12_A6_18hpi_1_1.fastq.gz,path/to/B12_A6_18hpi_1_2.fastq.gz,control,18,auto,HiSeq
B12_A6_18hpi_2,path/to/B12_A6_18hpi_2_1.fastq.gz,path/to/B12_A6_18hpi_2_2.fastq.gz,control,18,auto,HiSeq
B12_A6_18hpi_3,path/to/B12_A6_18hpi_3_1.fastq.gz,path/to/B12_A6_18hpi_3_2.fastq.gz,control,18,auto,HiSeq
B12_A6_24hpi_1,path/to/B12_A6_24hpi_1_1.fastq.gz,path/to/B12_A6_24hpi_1_2.fastq.gz,control,24,auto,HiSeq
B12_A6_24hpi_2,path/to/B12_A6_24hpi_2_1.fastq.gz,path/to/B12_A6_24hpi_2_2.fastq.gz,control,24,auto,HiSeq
B12_A6_24hpi_3,path/to/B12_A6_24hpi_3_1.fastq.gz,path/to/B12_A6_24hpi_3_2.fastq.gz,control,24,auto,HiSeq
B12_K1_12hpi_1,path/to/B12_K1_12hpi_1_1.fastq.gz,path/to/B12_K1_12hpi_1_2.fastq.gz,control,12,auto,HiSeq
B12_K1_12hpi_2,path/to/B12_K1_12hpi_2_1.fastq.gz,path/to/B12_K1_12hpi_2_2.fastq.gz,control,12,auto,HiSeq
B12_K1_12hpi_3,path/to/B12_K1_12hpi_3_1.fastq.gz,path/to/B12_K1_12hpi_3_2.fastq.gz,control,12,auto,HiSeq
B12_K1_18hpi_1,path/to/B12_K1_18hpi_1_1.fastq.gz,path/to/B12_K1_18hpi_1_2.fastq.gz,control,18,auto,HiSeq
B12_K1_18hpi_2,path/to/B12_K1_18hpi_2_1.fastq.gz,path/to/B12_K1_18hpi_2_2.fastq.gz,control,18,auto,HiSeq
B12_K1_18hpi_3,path/to/B12_K1_18hpi_3_1.fastq.gz,path/to/B12_K1_18hpi_3_2.fastq.gz,control,18,auto,HiSeq
B12_K1_24hpi_1,path/to/B12_K1_24hpi_1_1.fastq.gz,path/to/B12_K1_24hpi_1_2.fastq.gz,control,24,auto,HiSeq
B12_K1_24hpi_2,path/to/B12_K1_24hpi_2_1.fastq.gz,path/to/B12_K1_24hpi_2_2.fastq.gz,control,24,auto,HiSeq
B12_K1_24hpi_3,path/to/B12_K1_24hpi_3_1.fastq.gz,path/to/B12_K1_24hpi_3_2.fastq.gz,control,24,auto,HiSeq
pps_A6_6hpi_1,path/to/pps_A6_6hpi_1_1.fastq.gz,path/to/pps_A6_6hpi_1_2.fastq.gz,mutant,6,auto,HiSeq
pps_A6_6hpi_2,path/to/pps_A6_6hpi_2_1.fastq.gz,path/to/pps_A6_6hpi_2_2.fastq.gz,mutant,6,auto,HiSeq
pps_A6_6hpi_3,path/to/pps_A6_6hpi_3_1.fastq.gz,path/to/pps_A6_6hpi_3_2.fastq.gz,mutant,6,auto,HiSeq
pps_A6_12hpi_1,path/to/pps_A6_12hpi_1_1.fastq.gz,path/to/pps_A6_12hpi_1_2.fastq.gz,mutant,12,auto,HiSeq
pps_A6_12hpi_2,path/to/pps_A6_12hpi_2_1.fastq.gz,path/to/pps_A6_12hpi_2_2.fastq.gz,mutant,12,auto,HiSeq
pps_A6_12hpi_3,path/to/pps_A6_12hpi_3_1.fastq.gz,path/to/pps_A6_12hpi_3_2.fastq.gz,mutant,12,auto,HiSeq
pps_A6_18hpi_1,path/to/pps_A6_18hpi_1_1.fastq.gz,path/to/pps_A6_18hpi_1_2.fastq.gz,mutant,18,auto,HiSeq
pps_A6_18hpi_2,path/to/pps_A6_18hpi_2_1.fastq.gz,path/to/pps_A6_18hpi_2_2.fastq.gz,mutant,18,auto,HiSeq
pps_A6_18hpi_3,path/to/pps_A6_18hpi_3_1.fastq.gz,path/to/pps_A6_18hpi_3_2.fastq.gz,mutant,18,auto,HiSeq
pps_A6_24hpi_1,path/to/pps_A6_24hpi_1_1.fastq.gz,path/to/pps_A6_24hpi_1_2.fastq.gz,mutant,24,auto,HiSeq
pps_A6_24hpi_2,path/to/pps_A6_24hpi_2_1.fastq.gz,path/to/pps_A6_24hpi_2_2.fastq.gz,mutant,24,auto,HiSeq
pps_A6_24hpi_3,path/to/pps_A6_24hpi_3_1.fastq.gz,path/to/pps_A6_24hpi_3_2.fastq.gz,mutant,24,auto,HiSeq
pps_K1_6hpi_1,path/to/pps_K1_6hpi_1_1.fastq.gz,path/to/pps_K1_6hpi_1_2.fastq.gz,mutant,6,auto,HiSeq
pps_K1_6hpi_2,path/to/pps_K1_6hpi_2_1.fastq.gz,path/to/pps_K1_6hpi_2_2.fastq.gz,mutant,6,auto,HiSeq
pps_K1_6hpi_3,path/to/pps_K1_6hpi_3_1.fastq.gz,path/to/pps_K1_6hpi_3_2.fastq.gz,mutant,6,auto,HiSeq
pps_K1_12hpi_1,path/to/pps_K1_12hpi_1_1.fastq.gz,path/to/pps_K1_12hpi_1_2.fastq.gz,mutant,12,auto,HiSeq
pps_K1_12hpi_2,path/to/pps_K1_12hpi_2_1.fastq.gz,path/to/pps_K1_12hpi_2_2.fastq.gz,mutant,12,auto,HiSeq
pps_K1_12hpi_3,path/to/pps_K1_12hpi_3_1.fastq.gz,path/to/pps_K1_12hpi_3_2.fastq.gz,mutant,12,auto,HiSeq
pps_K1_18hpi_1,path/to/pps_K1_18hpi_1_1.fastq.gz,path/to/pps_K1_18hpi_1_2.fastq.gz,mutant,18,auto,HiSeq
pps_K1_18hpi_2,path/to/pps_K1_18hpi_2_1.fastq.gz,path/to/pps_K1_18hpi_2_2.fastq.gz,mutant,18,auto,HiSeq
pps_K1_18hpi_3,path/to/pps_K1_18hpi_3_1.fastq.gz,path/to/pps_K1_18hpi_3_2.fastq.gz,mutant,18,auto,HiSeq
pps_K1_24hpi_1,path/to/pps_K1_24hpi_1_1.fastq.gz,path/to/pps_K1_24hpi_1_2.fastq.gz,mutant,24,auto,HiSeq
pps_K1_24hpi_2,path/to/pps_K1_24hpi_2_1.fastq.gz,path/to/pps_K1_24hpi_2_2.fastq.gz,mutant,24,auto,HiSeq
pps_K1_24hpi_3,path/to/pps_K1_24hpi_3_1.fastq.gz,path/to/pps_K1_24hpi_3_2.fastq.gz,mutant,24,auto,HiSeq
